,filename,project_identity,auditor,high_vulnerability_count,medium_vulnerability_count,low_vulnerability_count,commit_hash,year,fixed_items,first_vulnerability_title,_input_tokens,_output_tokens,_api_attempts
0,2022.11.04 - Final - Merit Circle Audit Report.pdf,Merit Circle,Sherlock,3,5,0,ce5feaa,2022,3,Extend lock period should never result in a decrease of overall rewards (totallengthoflockedperiod*shares),2999,122,1
1,2023.03.06 - Final - Hats Audit Report.pdf,Hats Protocol,Sherlock,9,17,0,fafcfdf046c0369c1f9e077eacd94a328f9d7af0,2023,0,Issue H-1: Signers can bypass checks and change threshold within a transaction,3203,138,1
2,2023.07.03 - Final - Symmetrical Audit Report.pdf,Symmetrical,Sherlock,8,24,0,4a01b1934b98eb4ab714cee944e18204a4af8e16,2023,2,setSymbolsPrice() can use the priceSig from a long time ago,3633,134,1
3,2023.07.15 - Final - Ajna Update Audit Report.pdf,Ajna,Sherlock,7,7,0,e3632f6d0b196fb1bf1e59c05fb85daf357f2386,2023,0,permit signatures can be replayed if approval is revoked during valid timestamp,3457,130,1
4,2024.01.15 - Final - Telcoin Platform Audit Audit Report.pdf,Telcoin,Sherlock,3,2,0,83b50e15be708dffec5d96695ab187348b52f2c1,2024,2,StakingRewardsManager::topUp(...) Misallocates Funds to StakingRewards Contracts,3219,134,1
5,2024.03.06 - Final - Smilee Finance Audit Report.pdf,Smilee Finance,Sherlock,2,9,0,441a3cbdc8b926e7625a4ea82d6bdf7add1ee9f6,2024,1,The sign of delta hedge amount can be reversed by malicious user due to incorrect condition in FinanceIGDelta,3668,140,1
6,2024.06.01 - Final - Terrace Audit Report.pdf,Terrace Fi,Sherlock,7,20,0,1d4d30522016f2066ed00492a46132fd951fe719,2024,2,Multihop trade allows bypassing fees by setting different output tokens for the same input token,3386,136,1
7,2024.06.22 - Final - SYMMIO v0.83 Update Contest Audit Report.pdf,Symmetrical,Sherlock,2,1,0,742388ae6d9acf032ba500bdad7b084384af266f,2024,2,Wrong precision when adding balance within the restoreBridgeTransaction function,4182,133,1
8,2025.01.31 - Final - Perennial V2 Update 4 Audit Report.pdf,Perennial,panprog,2,3,0,0616283ba4368f9510e0724c49b67bf53854d12b,2025,2,Issue H-1: Anyone can steal all funds from the market due to incorrect health accounting for pending pnl from difference of intent price and market price when multiple intents are used.,3395,153,1
9,2025.04.26 - Final - Aegis Collaborative Audit Report.pdf,Aegis,0x73696d616f,1,0,2,5add3ff520a8da5a647232bdc487a635213caa5e,2025,0,Attacker can DoS user withdrawals at no cost,2367,129,1
10,2025.07.18 - Final - Notional Exponent Audit Report.pdf,Notional,xiaoming90,11,26,0,892c387086245c97fc9a95272e35b6ab8d2933d6,2025,0,Issue H-1: Cross-contract reentrancy allows YIELD_TOKEN theft for the GenericERC4626 WithdrawalRequestManager variant,3795,148,1
11,2026.02.10 - Final - Tori Finance Collaborative Audit Report 1770734349.pdf,Tori Finance,"defsec, Drynooo",1,7,14,eb5074003fa2e344ad8e34f464c7080c4c715ed5,2026,3,transferToCustody() function always reverts due to incorrect validation of ERC20 token address against EOA check,3100,148,1
12,code4rena-com-reports-2022-01-livepeer.pdf,Livepeer,C4,1,8,11,,2022,5,[H-01] [WP-H5] L1Migrator.sol#migrateETH() does not send bridgeMinter ’s ETH to L2 causing ETH get frozen in the contract,5828,136,1
13,code4rena-com-reports-2022-01-notional.pdf,Notional,C4,3,7,8,,2022,0,Treasury cannot claim COMP tokens & COMP tokens are stuck,6023,107,1
14,code4rena-com-reports-2022-12-tigris.pdf,Tigris Trade,Code4rena (C4),11,24,12,496e1974ee3838be8759e7b4096dbee1b8795593,2023,,[H-01] Lock.sol: assets deposited with Lock.extendLock function are lost,6240,140,1
15,code4rena-com-reports-2023-01-opensea.pdf,OpenSea Seaport 1.2,hickuphh3,0,1,17,,2023,8,[M-01] Incorrect Encoding of Order Hashes,5174,113,1
16,code4rena-com-reports-2024-11-mantra-dex.pdf,MANTRA DEX,Code4rena (C4),12,19,11,,2025,0,[H-01] Protocol allows creating broken tri-crypto CPMM pools,6240,117,1
17,code4rena-com-reports-2025-02-thorwallet.pdf,THORWallet,0xnev,2,1,5,98d7e936518ebd80e2029d782ffe763a3732a792,2025,3,[H-1] MergeTgt has no handling if TGTTOEXCHANGE is exceeded during the exchange period,7405,142,1
18,code4rena-com-reports-2025-07-lido-finance.pdf,Lido Finance,Code4rena,0,0,8,d63d123f24e2ed2fb2f039238e7562a3d61532b2,2025,0,Batch Operation Fully Reverts on Invalid Ejection Entry,3976,134,1
19,code4rena-com-reports-2025-12-panoptic-next-core....pdf,Panoptic: Next Core,Code4rena (C4),3,19,11,29980a740b67f3e5d9df9d96264a246b51fc7b6b,2026,3,"[H-01] BuilderWallet init() is unprotected/re-initializable, enabling takeover and theft of builder fees",6190,151,1
