,filename,project_identity,auditor,high_vulnerability_count,medium_vulnerability_count,low_vulnerability_count,commit_hash,year,fixed_items,first_vulnerability_title,_input_tokens,_output_tokens,_api_attempts
0,2022-09-subspacenetwork-subspacenetworkdesktopfarmer-securityreview.pdf,"Subspace Network, Subspace Desktop",Vasco Franco and Artur Cygan,1,2,4,6a42e94e4a54f09a8bb1c6235cb1967faa2b6676,2022,0,TOB-SPDF-5,2393,138,1
1,2023-09-solana-solang-parser-semantic-analysis-securityreview.pdf,Solang Parser and Semantic Analysis,Trail of Bits,0,0,1,52879197d1cbc0e83c1b44de70639256d73de105,2023,0,,3095,123,1
2,2025-12-offchain-arbitrum-chains-genesis-generator-securityreview.pdf,Offchain Labs Arbitrum Chains Genesis File Generator,Trail of Bits,0,0,1,59f69a966d343f089d106c931f2ce9c7ee1218d6,2025,0,Unclear whether Arbitrum-specific behavior of Solidity opcodes should be used,2396,144,1
3,2026-01-calyx-hsm-provisioning-ceremony-scripts-securityreview.pdf,Calyx Institute HSM Provisioning Ceremony Scripts,Joop van de Pol,0,1,0,,2026,0,Factory reset verifications are insufficient to prevent rogue admin keys,3637,115,1
4,2026-01-offchain-nitro-external-da-securityreview.pdf,Offchain Labs Arbitrum Nitro,Trail of Bits,1,0,2,3f226a0ecf91ceed3688a2fc41969fae1f32d03d,2026,0,Missing validations in executeValidatePreimage,2962,130,1
5,ABDK_Algebra_AlgebraProtocol_v_3_0.pdf,Algebra Protocol,ABDK Consulting (Mikhail Vladimirov and Dmytro Khorvatovitch),0,0,0,,2023,34,,11718,110,1
6,ABDK_Relevant_Solidity_v_1_0 - Copy.pdf,ABDK,Mikhail Vladimirov and Dmitry Khovratovich,4,4,31,c175a52,2021,28,CVF-29,4143,114,1
7,Capsule_Signing_and_Permissioning_Toolkit_Updated_2.pdf,Capsule Signing and Permissioning Toolkit,Least Authority TFA GmbH,7,0,0,ba66396b6f94e0e5d54b9aacfba45c25cc93cbe1,2024,7,Issue A: Secret Used to Encrypt Shares Sent Over Network,5898,142,1
8,Dragon Token Contract_ Review.pdf,DragonCoin,ABDK Consulting,2,3,0,,2017,7,Critical Flaw ( Corrected  this ),2590,107,1
9,Least-Authority-Linea-zkEVM-Limitless-Prover-Final-Audit-Report.pdf,Linea zkEVM Limitless Prover,Least Authority TFA GmbH,0,0,0,f2486950df0f1fa8a8b9af376bbc5f204274d319,2025,5,Suggestion 1: Use Library Operators Instead of Default Go Operators,4362,139,1
10,Least-Authority-TACEO-OPRF-Noir-Circuits-Final-Audit-Report.pdf,OPRF Noir Circuits,Least Authority TFA GmbH,3,0,0,50798b402e81ed3726674746c8c36dc7ef0931ee,2026,3,Issue A: Nullifier Malleability From Missing Subgroup Checks in Unblinding,5209,140,1
11,www-openzeppelin-com-news-broadcaster-pushers-audit.pdf,Broadcaster Pushers Audit,OpenZeppelin Security,0,0,4,e329d3a,2026,3,Missing Zero-Address Check in Linea and Scroll Buffer Constructors,4590,119,1
12,www-openzeppelin-com-news-linea-yield-manager-audit.pdf,Linea Yield Manager,OpenZeppelin Security,1,7,22,9c16ce3,2026,33,Duplicate Validator Requests DoS Permissionless Unstaking,4776,115,1
13,www-openzeppelin-com-news-openzeppelin-uniswap-hooks-v1-1-0-rc-1-audit.pdf,OpenZeppelin Uniswap Hooks,OpenZeppelin Security,9,4,1,0879747,2025,0,JIT Liquidity Penalty Can Be Bypassed,5083,117,1
14,www-openzeppelin-com-news-sponsored-periphery-audit.pdf,UMAprotocol /across-contracts-private repository,OpenZeppelin,3,4,9,758570a,2025,21,Incorrect Additional Amount to Send in Sponsored Swaps,5589,118,1
15,www-openzeppelin-com-news-uma-and-across-incremental-audit.pdf,UMA and Across Incremental,OpenZeppelin Security,0,2,5,,2026,10,Invalid destinationDex Can Strand Non-USDC Bridged Funds on Hypercore,5138,118,1
