,filename,project_identity,auditor,high_vulnerability_count,medium_vulnerability_count,low_vulnerability_count,commit_hash,year,fixed_items,first_vulnerability_title,_input_tokens,_output_tokens,_api_attempts
0,Amara.pdf,Amara,"Kornel Światłowski, Panagiotis Konstantinidis",3,7,2,6c0507f,2025,10,Double Division and Rounding in _calculateEarlyExitPenalty() Zeroes principalHaircut Nullifying the Intended Early-Exit Penalty,3220,174,1
1,Astra Nova.pdf,REVIVE Token,"Seher Saylik, Kornel Światłowski",0,0,1,5b5221f23c9407e5abbdd75c271bc3e1d8e39886,2025,1,F-2025-13716 - setTransferAllowedTimestamp Logic Permanently Locks Timestamp Updates After 1 Day Past TGE,2506,193,1
2,Aurora.pdf,Aurora Rainbow Bridge ETH2 Client,Sigma Prime,1,2,10,"50427ed, 738833b",2023,10,Skipped Slots Cause Relayer to Stall,5209,146,1
3,Bartercard.pdf,Qoin Token,Sigma Prime,0,0,1,04f3f64be531b0a1c2c29b638b2ae26b79acfeb9,,0,Permissive Access Control Model,3182,164,1
4,BullBit.pdf,Adpriva,Kornel Światłowski,0,0,0,9a4dccfdda19a15170c35fb8d8684be0e3d9f10d,2026,0,,1964,169,1
5,certificate-quantstamp-com-full-humanity-token-f83880c2-91d9-452c-819a-0baf7c1ac.pdf,Humanity Token,Quantstamp,0,0,0,4914653776698f470a95ca392f112af603060fba,2025,0,Secrets in Configuration File,3737,159,1
6,certificate-quantstamp-com-full-sapien-ffb7e698-6178-46f0-8df8-52e537af70c0-inde.pdf,Sapien,Quantstamp,2,6,6,c05fcbb,2025,9,Missing Balance Deduction in Unstaking Functions Allows Contract Drainage and Lock Period Bypass,2755,138,1
7,certificate-quantstamp-com-full-sequence-identity-document-c4ab27f1-1427-4862-8e.pdf,Sequence's Identity Instrument,Quantstamp,9,15,6,27f658cb30c63a3c2c265c570049bdd83e246045,2025,25,JWT Token Validation and Verification Are Explicitly Disabled,2223,168,1
8,certificate-quantstamp-com-full-tac-merkl-proxy-7824deb4-e8ab-41d6-a8c9-08cef490.pdf,TAC Merkl Proxy,Quantstamp,0,2,2,00f4392,2025,4,Withdrawn Tokens Can Be Lost if Not Included for Bridging,3977,142,1
9,certificate-quantstamp-com-full-token-ops-3-airdrop-23f2fc7c-6c0e-4ac7-8d7c-9516.pdf,TokenOps 3 - Airdrop,Quantstamp,0,1,4,0d853fcb26485d0563e3b009c02f810d1d060c93,2025,5,Missing Access Control Allows Users to Bypass Fees,3730,170,1
10,certificate-quantstamp-com-full-token-ops-3-staking-8ab84b1e-f47d-4da9-996f-5781.pdf,TokenOps 3 - Staking,Quantstamp,0,1,4,9e0677c,2025,5,DoS While Calculating Rewards,3756,133,1
11,Dirol.pdf,Dirol,Olesia Bilenka; Kaan Caglan,6,3,6,4bb80a4,2025,15,Native Input Routed as Zero for Native-Send Routes,3042,153,1
12,Dlicom.pdf,Dlicom,David Camps Novi,0,1,0,c1bd927,2026,0,Overprivileged Token Burning Capacity,2468,130,1
13,OPSEK.pdf,Opsek Hardening Scripts,Sigma Prime,0,0,15,481bc29,2026,15,Mishandled DNS Conﬁguration In Windows Hardening Script,4616,141,1
14,renzo.pdf,Renzo,Sigma Prime,6,4,5,7dabe54,2024,10,Re-entrancy Modiﬁer Misuse Causes Lost ETH,4111,148,1
15,Sigma_Prime_Botanix_Macbeth_Security_Assessment_Report_v2_1.pdf,Botanix,Sigma Prime,20,3,5,3868b40,2025,25,Peg-In Amounts May Be Stolen By Manipulating tx.gasprice,5158,144,1
16,Sigma_Prime_Igra_Core_Smart_Contracts_Security_Assessment_Report_v2_1.pdf,Igra,Sigma Prime,0,1,3,f24c22a,2026,4,Inverted Time Check Allows Only Past Schedule Updates,4217,133,1
17,Sigma_Prime_Rise_Core_Node_Security_Assessment_Report_v2_0.pdf,RISE Core Node,Sigma Prime,3,4,9,1a871bc5,2025,9,EIP-2935 Storage Reads Result In Consensus Failure,4473,139,1
18,Store Labs.pdf,Store Token,Sigma Prime,0,0,0,ab306e9856b03d1144b5ae61000b36c93b89249e54e28a532b0376a398c88a5f,,0,,3411,177,1
19,Sushi Swap.pdf,SushiXSwap and StablePool,Sigma Prime,5,4,3,4888a49,,1,Wrong Balance Checked Before Withdrawal,4206,139,1
