,filename,project_identity,auditor,high_vulnerability_count,medium_vulnerability_count,low_vulnerability_count,commit_hash,year,fixed_items,first_vulnerability_title,_input_tokens,_output_tokens,_api_attempts
0,2022-09-subspacenetwork-subspacenetworkdesktopfarmer-securityreview.pdf,"Subspace Network, Subspace Desktop",Trail of Bits,1,2,4,6a42e94e4a54f09a8bb1c6235cb1967faa2b6676,2022,0,"The Subspace Desktop application’s JavaScript front end can perform many privileged operations, allowing it to elevate its privileges.",2669,181,1
1,2023-09-solana-solang-parser-semantic-analysis-securityreview.pdf,Solang Parser and Semantic Analysis,Trail of Bits,0,0,1,52879197d1cbc0e83c1b44de70639256d73de105,2023,0,,3428,157,1
2,2025-12-offchain-arbitrum-chains-genesis-generator-securityreview.pdf,Offchain Labs Arbitrum Chains Genesis File Generator,Trail of Bits,0,0,0,59f69a966d343f089d106c931f2ce9c7ee1218d6,2025,0,Unclear whether Arbitrum-specific behavior of Solidity opcodes should be used,2662,192,1
3,2026-01-calyx-hsm-provisioning-ceremony-scripts-securityreview.pdf,Calyx Institute HSM Provisioning Ceremony Scripts,Trail of Bits,0,1,0,6c329831d0a6f23857af58fed820a0c7a5cd00763c76b8d6e7a5a0d1bf223de9,2026,0,Factory reset verifications are insufficient to prevent rogue admin keys,4523,194,1
4,2026-01-offchain-nitro-external-da-securityreview.pdf,Offchain Labs Arbitrum Nitro External DA,Trail of Bits,0,0,2,3f226a0ecf91ceed3688a2fc41969fae1f32d03d,2026,0,Missing validations in executeValidatePreimage,3377,165,1
5,ABDK_Algebra_AlgebraProtocol_v_3_0.pdf,Algebra Protocol,ABDK Consulting,13,14,35,,2023,55,,16337,121,1
6,ABDK_Relevant_Solidity_v_1_0 - Copy.pdf,Relevant Solidity,ABDK Consulting,4,4,31,c175a52,2021,34,Flaw,4357,129,1
7,Capsule_Signing_and_Permissioning_Toolkit_Updated_2.pdf,Capsule Signing and Permissioning Toolkit,Least Authority TFA GmbH,12,0,0,,2024,9,Secret Used to Encrypt Shares Sent Over Network,6460,134,1
8,Dragon Token Contract_ Review.pdf,DragonCoin,ABDK CONSULTING,3,2,5,,2017,2,Method burnFrom does not decrease the allowance,2815,127,1
9,Least-Authority-Linea-zkEVM-Limitless-Prover-Final-Audit-Report.pdf,Linea zkEVM Limitless Prover,Least Authority TFA GmbH,0,0,0,f2486950df0f1fa8a8b9af376bbc5f204274d319,2025,0,,4885,171,1
10,Least-Authority-TACEO-OPRF-Noir-Circuits-Final-Audit-Report.pdf,OPRF Noir Circuits,Least Authority,3,0,0,50798b402e81ed3726674746c8c36dc7ef0931ee,2026,3,Nullifier Malleability From Missing Subgroup Checks in Unblinding,5805,176,1
11,www-openzeppelin-com-news-broadcaster-pushers-audit.pdf,Broadcaster Pushers Audit,OpenZeppelin Security,0,0,4,e329d3a,2026,3,Missing Zero-Address Check in Linea and Scroll Buffer Constructors,4888,141,1
12,www-openzeppelin-com-news-linea-yield-manager-audit.pdf,Linea Yield Manager,OpenZeppelin Security,1,7,22,9c16ce3,2025,22,Duplicate Validator Requests DoS Permissionless Unstaking,5029,137,1
13,www-openzeppelin-com-news-openzeppelin-uniswap-hooks-v1-1-0-rc-1-audit.pdf,OpenZeppelin Uniswap Hooks,OpenZeppelin Security,11,4,1,0879747,2025,0,JIT Liquidity Penalty Can Be Bypassed,5279,157,1
14,www-openzeppelin-com-news-sponsored-periphery-audit.pdf,Sponsored Periphery Audit,OpenZeppelin Security,4,5,11,ec9bd79,2025,17,Incorrect Additional Amount to Send in Sponsored Swaps,5792,138,1
15,www-openzeppelin-com-news-uma-and-across-incremental-audit.pdf,UMA and Across Incremental Audit,OpenZeppelin Security,0,2,5,,2026,5,Invalid destinationDex Can Strand Non-USDC Bridged Funds on Hypercore,5365,138,1
